"","s"
"27","Matthew 5:43 
 Ye have heard that it hath been said, Thou shalt love thy neighbour, and hate thine enemy. 
"
"28","Matthew 5:44 
 But I say unto you, Love your enemies, bless them that curse you, do good to them that hate you, and pray for them which despitefully use you, and persecute you; 
"
"29","Matthew 5:46 
 For if ye love them which love you, what reward have ye? do not even the publicans the same? 
"
"30","Matthew 6:5 
 And when thou prayest, thou shalt not be as the hypocrites are: for they love to pray standing in the synagogues and in the corners of the streets, that they may be seen of men. Verily I say unto you, They have their reward. 
"
"31","Matthew 6:24 
 No man can serve two masters: for either he will hate the one, and love the other; or else he will hold to the one, and despise the other. Ye cannot serve God and mammon. 
"
"32","Matthew 10:37 
 He that loveth father or mother more than me is not worthy of me: and he that loveth son or daughter more than me is not worthy of me. 
"
"33","Matthew 12:18 
 Behold my servant, whom I have chosen; my beloved, in whom my soul is well pleased: I will put my spirit upon him, and he shall shew judgment to the Gentiles. 
"
"34","Matthew 17:5 
 While he yet spake, behold, a bright cloud overshadowed them: and behold a voice out of the cloud, which said, This is my beloved Son, in whom I am well pleased; hear ye him. 
"
"35","Matthew 19:19 
 Honour thy father and thy mother: and, Thou shalt love thy neighbour as thyself. 
"
"36","Matthew 22:37 
 Jesus said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind. 
"
"37","Matthew 22:39 
 And the second is like unto it, Thou shalt love thy neighbour as thyself. 
"
"38","Matthew 23:6 
 And love the uppermost rooms at feasts, and the chief seats in the synagogues, 
"
"39","Matthew 24:12 
 And because iniquity shall abound, the love of many shall wax cold. 
"
"40","Mark 1:11 
 And there came a voice from heaven, saying, Thou art my beloved Son, in whom I am well pleased. 
"
"41","Mark 9:7 
 And there was a cloud that overshadowed them: and a voice came out of the cloud, saying, This is my beloved Son: hear him. 
"
"42","Mark 10:21 
 Then Jesus beholding him loved him, and said unto him, One thing thou lackest: go thy way, sell whatsoever thou hast, and give to the poor, and thou shalt have treasure in heaven: and come, take up the cross, and follow me. 
"
"43","Mark 12:6 
 Having yet therefore one son, his wellbeloved, he sent him also last unto them, saying, They will reverence my son. 
"
"44","Mark 12:30 
 And thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind, and with all thy strength: this is the first commandment. 
"
"45","Mark 12:31 
 And the second is like, namely this, Thou shalt love thy neighbour as thyself. There is none other commandment greater than these. 
"
"46","Mark 12:33 
 And to love him with all the heart, and with all the understanding, and with all the soul, and with all the strength, and to love his neighbour as himself, is more than all whole burnt offerings and sacrifices. 
"
"47","Mark 12:38 
 And he said unto them in his doctrine, Beware of the scribes, which love to go in long clothing, and love salutations in the marketplaces, 
"
"48","Luke 3:22 
 And the Holy Ghost descended in a bodily shape like a dove upon him, and a voice came from heaven, which said, Thou art my beloved Son; in thee I am well pleased. 
"
"49","Luke 6:27 
 But I say unto you which hear, Love your enemies, do good to them which hate you, 
"
"50","Luke 6:32 
 For if ye love them which love you, what thank have ye? for sinners also love those that love them. 
"
"51","Luke 6:35 
 But love ye your enemies, and do good, and lend, hoping for nothing again; and your reward shall be great, and ye shall be the children of the Highest: for he is kind unto the unthankful and to the evil. 
"
"52","Luke 7:5 
 For he loveth our nation, and he hath built us a synagogue. 
"
"53","Luke 7:42 
 And when they had nothing to pay, he frankly forgave them both. Tell me therefore, which of them will love him most? 
"
"54","Luke 7:47 
 Wherefore I say unto thee, Her sins, which are many, are forgiven; for she loved much: but to whom little is forgiven, the same loveth little. 
"
"55","Luke 9:35 
 And there came a voice out of the cloud, saying, This is my beloved Son: hear him. 
"
"56","Luke 10:27 
 And he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbour as thyself. 
"
"57","Luke 11:42 
 But woe unto you, Pharisees! for ye tithe mint and rue and all manner of herbs, and pass over judgment and the love of God: these ought ye to have done, and not to leave the other undone. 
"
"58","Luke 11:43 
 Woe unto you, Pharisees! for ye love the uppermost seats in the synagogues, and greetings in the markets. 
"
"59","Luke 16:13 
 No servant can serve two masters: for either he will hate the one, and love the other; or else he will hold to the one, and despise the other. Ye cannot serve God and mammon. 
"
"60","Luke 20:13 
 Then said the lord of the vineyard, What shall I do? I will send my beloved son: it may be they will reverence him when they see him. 
"
"61","Luke 20:46 
 Beware of the scribes, which desire to walk in long robes, and love greetings in the markets, and the highest seats in the synagogues, and the chief rooms at feasts; 
"
"62","John 3:16 
 For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life. 
"
"63","John 3:19 
 And this is the condemnation, that light is come into the world, and men loved darkness rather than light, because their deeds were evil. 
"
"64","John 3:35 
 The Father loveth the Son, and hath given all things into his hand. 
"
"65","John 5:20 
 For the Father loveth the Son, and sheweth him all things that himself doeth: and he will shew him greater works than these, that ye may marvel. 
"
"66","John 5:42 
 But I know you, that ye have not the love of God in you. 
"
"67","John 8:42 
 Jesus said unto them, If God were your Father, ye would love me: for I proceeded forth and came from God; neither came I of myself, but he sent me. 
"
"68","John 10:17 
 Therefore doth my Father love me, because I lay down my life, that I might take it again. 
"
"69","John 11:3 
 Therefore his sisters sent unto him, saying, Lord, behold, he whom thou lovest is sick. 
"
"70","John 11:5 
 Now Jesus loved Martha, and her sister, and Lazarus. 
"
"71","John 11:36 
 Then said the Jews, Behold how he loved him! 
"
"72","John 12:25 
 He that loveth his life shall lose it; and he that hateth his life in this world shall keep it unto life eternal. 
"
"73","John 12:43 
 For they loved the praise of men more than the praise of God. 
"
"74","John 13:1 
 Now before the feast of the passover, when Jesus knew that his hour was come that he should depart out of this world unto the Father, having loved his own which were in the world, he loved them unto the end. 
"
"75","John 13:23 
 Now there was leaning on Jesus' bosom one of his disciples, whom Jesus loved. 
"
"76","John 13:34 
 A new commandment I give unto you, That ye love one another; as I have loved you, that ye also love one another. 
"
"77","John 13:35 
 By this shall all men know that ye are my disciples, if ye have love one to another. 
"
"78","John 14:15 
 If ye love me, keep my commandments. 
"
"79","John 14:21 
 He that hath my commandments, and keepeth them, he it is that loveth me: and he that loveth me shall be loved of my Father, and I will love him, and will manifest myself to him. 
"
"80","John 14:23 
 Jesus answered and said unto him, If a man love me, he will keep my words: and my Father will love him, and we will come unto him, and make our abode with him. 
"
"81","John 14:24 
 He that loveth me not keepeth not my sayings: and the word which ye hear is not mine, but the Father's which sent me. 
"
"82","John 14:28 
 Ye have heard how I said unto you, I go away, and come again unto you. If ye loved me, ye would rejoice, because I said, I go unto the Father: for my Father is greater than I. 
"
"83","John 14:31 
 But that the world may know that I love the Father; and as the Father gave me commandment, even so I do. Arise, let us go hence. 
"
"84","John 15:9 
 As the Father hath loved me, so have I loved you: continue ye in my love. 
"
"85","John 15:10 
 If ye keep my commandments, ye shall abide in my love; even as I have kept my Father's commandments, and abide in his love. 
"
"86","John 15:12 
 This is my commandment, That ye love one another, as I have loved you. 
"
"87","John 15:13 
 Greater love hath no man than this, that a man lay down his life for his friends. 
"
"88","John 15:17 
 These things I command you, that ye love one another. 
"
"89","John 15:19 
 If ye were of the world, the world would love his own: but because ye are not of the world, but I have chosen you out of the world, therefore the world hateth you. 
"
"90","John 16:27 
 For the Father himself loveth you, because ye have loved me, and have believed that I came out from God. 
"
"91","John 17:23 
 I in them, and thou in me, that they may be made perfect in one; and that the world may know that thou hast sent me, and hast loved them, as thou hast loved me. 
"
"92","John 17:24 
 Father, I will that they also, whom thou hast given me, be with me where I am; that they may behold my glory, which thou hast given me: for thou lovedst me before the foundation of the world. 
"
"93","John 17:26 
 And I have declared unto them thy name, and will declare it: that the love wherewith thou hast loved me may be in them, and I in them. 
"
"94","John 19:26 
 When Jesus therefore saw his mother, and the disciple standing by, whom he loved, he saith unto his mother, Woman, behold thy son! 
"
"95","John 20:2 
 Then she runneth, and cometh to Simon Peter, and to the other disciple, whom Jesus loved, and saith unto them, They have taken away the LORD out of the sepulchre, and we know not where they have laid him. 
"
"96","John 21:7 
 Therefore that disciple whom Jesus loved saith unto Peter, It is the Lord. Now when Simon Peter heard that it was the Lord, he girt his fisher's coat unto him, (for he was naked,) and did cast himself into the sea. 
"
"97","John 21:15 
 So when they had dined, Jesus saith to Simon Peter, Simon, son of Jonas, lovest thou me more than these? He saith unto him, Yea, Lord; thou knowest that I love thee. He saith unto him, Feed my lambs. 
"
"98","John 21:16 
 He saith to him again the second time, Simon, son of Jonas, lovest thou me? He saith unto him, Yea, Lord; thou knowest that I love thee. He saith unto him, Feed my sheep. 
"
"99","John 21:17 
 He saith unto him the third time, Simon, son of Jonas, lovest thou me? Peter was grieved because he said unto him the third time, Lovest thou me? And he said unto him, Lord, thou knowest all things; thou knowest that I love thee. Jesus saith unto him, Feed my sheep. 
"
"100","John 21:20 
 Then Peter, turning about, seeth the disciple whom Jesus loved following; which also leaned on his breast at supper, and said, Lord, which is he that betrayeth thee? 
"
"101","Acts 2:3 
 And there appeared unto them cloven tongues like as of fire, and it sat upon each of them. 
"
"102","Acts 15:25 
 It seemed good unto us, being assembled with one accord, to send chosen men unto you with our beloved Barnabas and Paul, 
"
"103","Romans 1:7 
 To all that be in Rome, beloved of God, called to be saints: Grace to you and peace from God our Father, and the Lord Jesus Christ. 
"
"104","Romans 5:5 
 And hope maketh not ashamed; because the love of God is shed abroad in our hearts by the Holy Ghost which is given unto us. 
"
"105","Romans 5:8 
 But God commendeth his love toward us, in that, while we were yet sinners, Christ died for us. 
"
"106","Romans 8:28 
 And we know that all things work together for good to them that love God, to them who are the called according to his purpose. 
"
"107","Romans 8:35 
 Who shall separate us from the love of Christ? shall tribulation, or distress, or persecution, or famine, or nakedness, or peril, or sword? 
"
"108","Romans 8:37 
 Nay, in all these things we are more than conquerors through him that loved us. 
"
"109","Romans 8:39 
 Nor height, nor depth, nor any other creature, shall be able to separate us from the love of God, which is in Christ Jesus our Lord. 
"
"110","Romans 9:13 
 As it is written, Jacob have I loved, but Esau have I hated. 
"
"111","Romans 9:25 
 As he saith also in Osee, I will call them my people, which were not my people; and her beloved, which was not beloved. 
"
"112","Romans 11:28 
 As concerning the gospel, they are enemies for your sakes: but as touching the election, they are beloved for the father's sakes. 
"
"113","Romans 12:9 
 Let love be without dissimulation. Abhor that which is evil; cleave to that which is good. 
"
"114","Romans 12:10 
 Be kindly affectioned one to another with brotherly love; in honour preferring one another; 
"
"115","Romans 12:19 
 Dearly beloved, avenge not yourselves, but rather give place unto wrath: for it is written, Vengeance is mine; I will repay, saith the Lord. 
"
"116","Romans 13:8 
 Owe no man any thing, but to love one another: for he that loveth another hath fulfilled the law. 
"
"117","Romans 13:9 
 For this, Thou shalt not commit adultery, Thou shalt not kill, Thou shalt not steal, Thou shalt not bear false witness, Thou shalt not covet; and if there be any other commandment, it is briefly comprehended in this saying, namely, Thou shalt love thy neighbour as thyself. 
"
"118","Romans 13:10 
 Love worketh no ill to his neighbour: therefore love is the fulfilling of the law. 
"
"119","Romans 15:30 
 Now I beseech you, brethren, for the Lord Jesus Christ's sake, and for the love of the Spirit, that ye strive together with me in your prayers to God for me; 
"
"120","Romans 16:5 
 Likewise greet the church that is in their house. Salute my well-beloved Epaenetus, who is the firstfruits of Achaia unto Christ. 
"
"121","Romans 16:8 
 Greet Amplias my beloved in the Lord. 
"
"122","Romans 16:9 
 Salute Urbane, our helper in Christ, and Stachys my beloved. 
"
"123","Romans 16:12 
 Salute Tryphena and Tryphosa, who labour in the Lord. Salute the beloved Persis, which laboured much in the Lord. 
"
"124","1 Corinthians 2:9 
 But as it is written, Eye hath not seen, nor ear heard, neither have entered into the heart of man, the things which God hath prepared for them that love him. 
"
"125","1 Corinthians 4:14 
 I write not these things to shame you, but as my beloved sons I warn you. 
"
"126","1 Corinthians 4:17 
 For this cause have I sent unto you Timotheus, who is my beloved son, and faithful in the Lord, who shall bring you into remembrance of my ways which be in Christ, as I teach every where in every church. 
"
"127","1 Corinthians 4:21 
 What will ye? shall I come unto you with a rod, or in love, and in the spirit of meekness? 
"
"128","1 Corinthians 8:3 
 But if any man love God, the same is known of him. 
"
"129","1 Corinthians 10:14 
 Wherefore, my dearly beloved, flee from idolatry. 
"
"130","1 Corinthians 15:58 
 Therefore, my beloved brethren, be ye stedfast, unmoveable, always abounding in the work of the Lord, forasmuch as ye know that your labour is not in vain in the Lord. 
"
"131","1 Corinthians 16:22 
 If any man love not the Lord Jesus Christ, let him be Anathema Maranatha. 
"
"132","1 Corinthians 16:24 
 My love be with you all in Christ Jesus. Amen. 
"
"133","2 Corinthians 2:4 
 For out of much affliction and anguish of heart I wrote unto you with many tears; not that ye should be grieved, but that ye might know the love which I have more abundantly unto you. 
"
"134","2 Corinthians 2:8 
 Wherefore I beseech you that ye would confirm your love toward him. 
"
"135","2 Corinthians 5:14 
 For the love of Christ constraineth us; because we thus judge, that if one died for all, then were all dead: 
"
"136","2 Corinthians 6:6 
 By pureness, by knowledge, by longsuffering, by kindness, by the Holy Ghost, by love unfeigned, 
"
"137","2 Corinthians 7:1 
 Having therefore these promises, dearly beloved, let us cleanse ourselves from all filthiness of the flesh and spirit, perfecting holiness in the fear of God. 
"
"138","2 Corinthians 8:7 
 Therefore, as ye abound in every thing, in faith, and utterance, and knowledge, and in all diligence, and in your love to us, see that ye abound in this grace also. 
"
"139","2 Corinthians 8:8 
 I speak not by commandment, but by occasion of the forwardness of others, and to prove the sincerity of your love. 
"
"140","2 Corinthians 8:24 
 Wherefore shew ye to them, and before the churches, the proof of your love, and of our boasting on your behalf. 
"
"141","2 Corinthians 9:7 
 Every man according as he purposeth in his heart, so let him give; not grudgingly, or of necessity: for God loveth a cheerful giver. 
"
"142","2 Corinthians 11:11 
 Wherefore? because I love you not? God knoweth. 
"
"143","2 Corinthians 12:15 
 And I will very gladly spend and be spent for you; though the more abundantly I love you, the less I be loved. 
"
"144","2 Corinthians 12:19 
 Again, think ye that we excuse ourselves unto you? we speak before God in Christ: but we do all things, dearly beloved, for your edifying. 
"
"145","2 Corinthians 13:11 
 Finally, brethren, farewell. Be perfect, be of good comfort, be of one mind, live in peace; and the God of love and peace shall be with you. 
"
"146","2 Corinthians 13:14 
 The grace of the Lord Jesus Christ, and the love of God, and the communion of the Holy Ghost, be with you all. Amen. 
"
"147","Galatians 2:20 
 I am crucified with Christ: neverthless I live; yet not I, but Christ liveth in me: and the life which I now live in the flesh I live by the faith of the Son of God, who loved me, and gave himself for me. 
"
"148","Galatians 5:6 
 For in Jesus Christ neither circumcision availeth any thing, nor uncircumcision; but faith which worketh by love. 
"
"149","Galatians 5:13 
 For, brethren, ye have been called unto liberty; only use not liberty for an occasion to the flesh, but by love serve one another. 
"
"150","Galatians 5:14 
 For all the law is fulfilled in one word, even in this; Thou shalt love thy neighbour as thyself. 
"
"151","Galatians 5:22 
 But the fruit of the Spirit is love, joy, peace, longsuffering, gentleness, goodness, faith, 
"
"152","Ephesians 1:4 
 According as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love: 
"
"153","Ephesians 1:6 
 To the praise of the glory of his grace, wherein he hath made us accepted in the beloved. 
"
"154","Ephesians 1:15 
 Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints, 
"
"155","Ephesians 2:4 
 But God, who is rich in mercy, for his great love wherewith he loved us, 
"
"156","Ephesians 3:17 
 That Christ may dwell in your hearts by faith; that ye, being rooted and grounded in love, 
"
"157","Ephesians 3:19 
 And to know the love of Christ, which passeth knowledge, that ye might be filled with all the fulness of God. 
"
"158","Ephesians 4:2 
 With all lowliness and meekness, with longsuffering, forbearing one another in love; 
"
"159","Ephesians 4:15 
 But speaking the truth in love, may grow up into him in all things, which is the head, even Christ: 
"
"160","Ephesians 4:16 
 From whom the whole body fitly joined together and compacted by that which every joint supplieth, according to the effectual working in the measure of every part, maketh increase of the body unto the edifying of itself in love. 
"
"161","Ephesians 5:2 
 And walk in love, as Christ also hath loved us, and hath given himself for us an offering and a sacrifice to God for a sweetsmelling savour. 
"
"162","Ephesians 5:25 
 Husbands, love your wives, even as Christ also loved the church, and gave himself for it; 
"
"163","Ephesians 5:28 
 So ought men to love their wives as their own bodies. He that loveth his wife loveth himself. 
"
"164","Ephesians 5:33 
 Nevertheless let every one of you in particular so love his wife even as himself; and the wife see that she reverence her husband. 
"
"165","Ephesians 6:21 
 But that ye also may know my affairs, and how I do, Tychicus, a beloved brother and faithful minister in the Lord, shall make known to you all things: 
"
"166","Ephesians 6:23 
 Peace be to the brethren, and love with faith, from God the Father and the Lord Jesus Christ. 
"
"167","Ephesians 6:24 
 Grace be with all them that love our Lord Jesus Christ in sincerity. Amen. 
"
"168","Philippians 1:9 
 And this I pray, that your love may abound yet more and more in knowledge and in all judgment; 
"
"169","Philippians 1:17 
 But the other of love, knowing that I am set for the defence of the gospel. 
"
"170","Philippians 2:1 
 If there be therefore any consolation in Christ, if any comfort of love, if any fellowship of the Spirit, if any bowels and mercies, 
"
"171","Philippians 2:2 
 Fulfil ye my joy, that ye be likeminded, having the same love, being of one accord, of one mind. 
"
"172","Philippians 2:12 
 Wherefore, my beloved, as ye have always obeyed, not as in my presence only, but now much more in my absence, work out your own salvation with fear and trembling. 
"
"173","Philippians 4:1 
 Therefore, my brethren dearly beloved and longed for, my joy and crown, so stand fast in the Lord, my dearly beloved. 
"
"174","Philippians 4:8 
 Finally, brethren, whatsoever things are true, whatsoever things are honest, whatsoever things are just, whatsoever things are pure, whatsoever things are lovely, whatsoever things are of good report; if there be any virtue, and if there be any praise, think on these things. 
"
"175","Colossians 1:4 
 Since we heard of your faith in Christ Jesus, and of the love which ye have to all the saints, 
"
"176","Colossians 1:8 
 Who also declared unto us your love in the Spirit. 
"
"177","Colossians 2:2 
 That their hearts might be comforted, being knit together in love, and unto all riches of the full assurance of understanding, to the acknowledgement of the mystery of God, and of the Father, and of Christ; 
"
"178","Colossians 3:12 
 Put on therefore, as the elect of God, holy and beloved, bowels of mercies, kindness, humbleness of mind, meekness, longsuffering; 
"
"179","Colossians 3:19 
 Husbands, love your wives, and be not bitter against them. 
"
"180","Colossians 4:7 
 All my state shall Tychicus declare unto you, who is a beloved brother, and a faithful minister and fellowservant in the Lord: 
"
"181","Colossians 4:9 
 With Onesimus, a faithful and beloved brother, who is one of you. They shall make known unto you all things which are done here. 
"
"182","Colossians 4:14 
 Luke, the beloved physician, and Demas, greet you. 
"
"183","1 Thessalonians 1:3 
 Remembering without ceasing your work of faith, and labour of love, and patience of hope in our Lord Jesus Christ, in the sight of God and our Father; 
"
"184","1 Thessalonians 1:4 
 Knowing, brethren beloved, your election of God. 
"
"185","1 Thessalonians 3:12 
 And the Lord make you to increase and abound in love one toward another, and toward all men, even as we do toward you: 
"
"186","1 Thessalonians 4:9 
 But as touching brotherly love ye need not that I write unto you: for ye yourselves are taught of God to love one another. 
"
"187","1 Thessalonians 5:8 
 But let us, who are of the day, be sober, putting on the breastplate of faith and love; and for an helmet, the hope of salvation. 
"
"188","1 Thessalonians 5:13 
 And to esteem them very highly in love for their work's sake. And be at peace among yourselves. 
"
"189","2 Thessalonians 2:10 
 And with all deceivableness of unrighteousness in them that perish; because they received not the love of the truth, that they might be saved. 
"
"190","2 Thessalonians 2:13 
 But we are bound to give thanks alway to God for you, brethren beloved of the Lord, because God hath from the beginning chosen you to salvation through sanctification of the Spirit and belief of the truth: 
"
"191","2 Thessalonians 2:16 
 Now our Lord Jesus Christ himself, and God, even our Father, which hath loved us, and hath given us everlasting consolation and good hope through grace, 
"
"192","2 Thessalonians 3:5 
 And the Lord direct your hearts into the love of God, and into the patient waiting for Christ. 
"
"193","1 Timothy 1:14 
 And the grace of our Lord was exceeding abundant with faith and love which is in Christ Jesus. 
"
"194","1 Timothy 6:2 
 And they that have believing masters, let them not despise them, because they are brethren; but rather do them service, because they are faithful and beloved, partakers of the benefit. These things teach and exhort. 
"
"195","1 Timothy 6:10 
 For the love of money is the root of all evil: which while some coveted after, they have erred from the faith, and pierced themselves through with many sorrows. 
"
"196","1 Timothy 6:11 
 But thou, O man of God, flee these things; and follow after righteousness, godliness, faith, love, patience, meekness. 
"
"197","2 Timothy 1:2 
 To Timothy, my dearly beloved son: Grace, mercy, and peace, from God the Father and Christ Jesus our Lord. 
"
"198","2 Timothy 1:7 
 For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind. 
"
"199","2 Timothy 1:13 
 Hold fast the form of sound words, which thou hast heard of me, in faith and love which is in Christ Jesus. 
"
"200","2 Timothy 3:2 
 For men shall be lovers of their own selves, covetous, boasters, proud, blasphemers, disobedient to parents, unthankful, unholy, 
"
"201","2 Timothy 3:4 
 Traitors, heady, highminded, lovers of pleasures more than lovers of God; 
"
"202","2 Timothy 4:8 
 Henceforth there is laid up for me a crown of righteousness, which the Lord, the righteous judge, shall give me at that day: and not to me only, but unto all them also that love his appearing. 
"
"203","2 Timothy 4:10 
 For Demas hath forsaken me, having loved this present world, and is departed unto Thessalonica; Crescens to Galatia, Titus unto Dalmatia. 
"
"204","Titus 1:8 
 But a lover of hospitality, a lover of good men, sober, just, holy, temperate; 
"
"205","Titus 2:4 
 That they may teach the young women to be sober, to love their husbands, to love their children, 
"
"206","Titus 3:4 
 But after that the kindness and love of God our Saviour toward man appeared, 
"
"207","Titus 3:15 
 All that are with me salute thee. Greet them that love us in the faith. Grace be with you all. Amen. 
"
"208","Philemon 1:1 
 Paul, a prisoner of Jesus Christ, and Timothy our brother, unto Philemon our dearly beloved, and fellowlabourer, 
"
"209","Philemon 1:2 
 And to our beloved Apphia, and Archippus our fellowsoldier, and to the church in thy house: 
"
"210","Philemon 1:5 
 Hearing of thy love and faith, which thou hast toward the Lord Jesus, and toward all saints; 
"
"211","Philemon 1:7 
 For we have great joy and consolation in thy love, because the bowels of the saints are refreshed by thee, brother. 
"
"212","Philemon 1:9 
 Yet for love's sake I rather beseech thee, being such an one as Paul the aged, and now also a prisoner of Jesus Christ. 
"
"213","Philemon 1:16 
 Not now as a servant, but above a servant, a brother beloved, specially to me, but how much more unto thee, both in the flesh, and in the Lord? 
"
"214","Hebrews 1:9 
 Thou hast loved righteousness, and hated iniquity; therefore God, even thy God, hath anointed thee with the oil of gladness above thy fellows. 
"
"215","Hebrews 6:9 
 But, beloved, we are persuaded better things of you, and things that accompany salvation, though we thus speak. 
"
"216","Hebrews 6:10 
 For God is not unrighteous to forget your work and labour of love, which ye have shewed toward his name, in that ye have ministered to the saints, and do minister. 
"
"217","Hebrews 10:24 
 And let us consider one another to provoke unto love and to good works: 
"
"218","Hebrews 12:6 
 For whom the Lord loveth he chasteneth, and scourgeth every son whom he receiveth. 
"
"219","Hebrews 13:1 
 Let brotherly love continue. 
"
"220","James 1:12 
 Blessed is the man that endureth temptation: for when he is tried, he shall receive the crown of life, which the Lord hath promised to them that love him. 
"
"221","James 1:16 
 Do not err, my beloved brethren. 
"
"222","James 1:19 
 Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath: 
"
"223","James 2:5 
 Hearken, my beloved brethren, Hath not God chosen the poor of this world rich in faith, and heirs of the kingdom which he hath promised to them that love him? 
"
"224","James 2:8 
 If ye fulfil the royal law according to the scripture, Thou shalt love thy neighbour as thyself, ye do well: 
"
"225","1 Peter 1:8 
 Whom having not seen, ye love; in whom, though now ye see him not, yet believing, ye rejoice with joy unspeakable and full of glory: 
"
"226","1 Peter 1:22 
 Seeing ye have purified your souls in obeying the truth through the Spirit unto unfeigned love of the brethren, see that ye love one another with a pure heart fervently: 
"
"227","1 Peter 2:11 
 Dearly beloved, I beseech you as strangers and pilgrims, abstain from fleshly lusts, which war against the soul; 
"
"228","1 Peter 2:17 
 Honour all men. Love the brotherhood. Fear God. Honour the king. 
"
"229","1 Peter 3:8 
 Finally, be ye all of one mind, having compassion one of another, love as brethren, be pitiful, be courteous: 
"
"230","1 Peter 3:10 
 For he that will love life, and see good days, let him refrain his tongue from evil, and his lips that they speak no guile: 
"
"231","1 Peter 4:12 
 Beloved, think it not strange concerning the fiery trial which is to try you, as though some strange thing happened unto you: 
"
"232","2 Peter 1:17 
 For he received from God the Father honour and glory, when there came such a voice to him from the excellent glory, This is my beloved Son, in whom I am well pleased. 
"
"233","2 Peter 2:15 
 Which have forsaken the right way, and are gone astray, following the way of Balaam the son of Bosor, who loved the wages of unrighteousness; 
"
"234","2 Peter 3:1 
 This second epistle, beloved, I now write unto you; in both which I stir up your pure minds by way of remembrance: 
"
"235","2 Peter 3:8 
 But, beloved, be not ignorant of this one thing, that one day is with the Lord as a thousand years, and a thousand years as one day. 
"
"236","2 Peter 3:14 
 Wherefore, beloved, seeing that ye look for such things, be diligent that ye may be found of him in peace, without spot, and blameless. 
"
"237","2 Peter 3:15 
 And account that the longsuffering of our Lord is salvation; even as our beloved brother Paul also according to the wisdom given unto him hath written unto you; 
"
